[12, 12]
(0, 1)
(5, 9) | (3, 5)
(2, 2, 2, 2)
(5, 1, 2, 2)
(8, 1, 1, 1)
(1, 4, 2, 2)
(4, 4, 1, 1)
(9, 4, 1, 1)
(2, 7, 2, 2)
(6, 7, 1, 1)
(9, 7, 1, 1)
(1, 10, 2, 2)
(4, 10, 1, 1)
(8, 10, 1, 1)
(2, 13, 2, 2)
(6, 13, 1, 1)
(9, 13, 1, 1)
(1, 16, 2, 2)
(4, 16, 1, 1)
(8, 16, 1, 1)
(4, 6, 1, 4)
(4, 13, 1, 4)
(5, 10, 3, 1)
(7, 2, 1, 2)
(7, 8, 1, 2)
(1, 18, 2, 2)
(2, 20, 1, 2)
(6, 1, 3, 2)
(6, 5, 1, 3)
(6, 13, 3, 1)
(6, 19, 3, 1)
(10, 1, 2, 2)
(11, 4, 1, 3)
(10, 8, 2, 2)
(11, 15, 1, 3)
(10, 19, 2, 2)
(3, 0, 1, 2)
(1, 5, 2, 2)
(7, 4, 1, 2)
(4, 21, 1, 3)
(9, 22, 1, 2)
(3, 18, 1, 3)
(7, 18, 1, 2)
(1, 13, 2, 2)
(3, 14, 1, 2)
(10, 14, 2, 2)
(8, 18, 2, 2)
(4, 7, 1, 2)
